# of Entries,DB Type,Action,Sub-Action Type,Value Type,Time to Complete
4500,Mongo,Insert,,String,0.6167348330000095
4500,Redis,Insert,,String,0.15234299999997347
4500,MySQL,Insert,,String,0.002179500000011103
4500,Mongo,Insert,,Int,0.6025264999999536
4500,Redis,Insert,,Int,0.15434045800009244
4500,MySQL,Insert,,Int,0.0020797079999965717
4500,Mongo,Insert,,Complex,0.6589314579999836
4500,Redis,Insert,,Complex,0.17676879200007534
4500,MySQL,Insert,,Complex,0.0041879589999780364
4500,Mongo,Search,single-search,String,34.822573250000005
4500,Mongo,Search,multi-search,String,0.08664012500003082
4500,Mongo,Search,find all,String,4.540999952951097e-06
4500,Redis,Search,single-search,String,0.34672325000008186
4500,Redis,Search,multi-search,String,0.9958127090000062
4500,Redis,Search,find all,String,0.13764712499994403
4500,MySQL,Search,single-search,String,35.303756916
4500,MySQL,Search,multi-search,String,35.224531667000065
4500,MySQL,Search,find all,String,0.0007129580000082569
4500,Mongo,Search,single-search,Int,47.34236749999991
4500,Mongo,Search,multi-search,Int,0.08536866599990844
4500,Mongo,Search,find all,Int,4.540999952951097e-06
4500,Redis,Search,single-search,Int,0.3482830420000482
4500,Redis,Search,multi-search,Int,0.9799025419999907
4500,Redis,Search,find all,Int,0.1342770420000079
4500,MySQL,Search,single-search,Int,0.0029260000000022046
4500,MySQL,Search,multi-search,Int,0.0045862910000096235
4500,MySQL,Search,find all,Int,0.0008348750000095606
4500,Mongo,Search,single-search,Complex,47.41886124999996
4500,Mongo,Search,multi-search,Complex,0.08766908300003706
4500,Mongo,Search,find all,Complex,4.500000045482011e-06
4500,Redis,Search,single-search,Complex,0.35451562499997635
4500,Redis,Search,multi-search,Complex,0.9970458750000262
4500,Redis,Search,find all,Complex,0.13743699999997716
4500,MySQL,Search,single-search,Complex,0.00300866700001734
4500,MySQL,Search,multi-search,Complex,0.004675000000020191
4500,MySQL,Search,find all,Complex,0.0008087090000117314
4500,Mongo,Update,,String,22.109346208000034
4500,Redis,Update,,String,0.2572432499999877
4500,MySQL,Update,,String,0.002093791999982386
4500,Mongo,Update,,Int,28.08236749999992
4500,Redis,Update,,Int,0.2624374590000116
4500,MySQL,Update,,Int,0.0027071659999364783
4500,Mongo,Update,,Complex,23.587007459000006
4500,Redis,Update,,Complex,0.2954317499999206
4500,MySQL,Update,,Complex,0.005027999999924759
4500,Mongo,Delete,,String,0.2106877919999306
4500,Redis,Delete,,String,0.049914416999968125
4500,MySQL,Delete,,String,0.0014337079999222624
4500,Mongo,Delete,,Int,4.060651291999989
4500,Redis,Delete,,Int,0.08120445800000198
4500,MySQL,Delete,,Int,0.00196537499994065
4500,Mongo,Delete,,Complex,4.277598499999954
4500,Redis,Delete,,Complex,0.08606645899999421
4500,MySQL,Delete,,Complex,0.0020732499999667198
5000,Mongo,Insert,,String,0.6854908750000277
5000,Redis,Insert,,String,0.16787841600000775
5000,MySQL,Insert,,String,0.002298458000041137
5000,Mongo,Insert,,Int,0.6781619159999082
5000,Redis,Insert,,Int,0.16697716599992418
5000,MySQL,Insert,,Int,0.0021934589999546006
5000,Mongo,Insert,,Complex,0.7263243750001038
5000,Redis,Insert,,Complex,0.19200070800002322
5000,MySQL,Insert,,Complex,0.00490833300000304
5000,Mongo,Search,single-search,String,45.50280750000002
5000,Mongo,Search,multi-search,String,0.09504933400000937
5000,Mongo,Search,find all,String,6.125000027168426e-06
5000,Redis,Search,single-search,String,0.4204184580000856
5000,Redis,Search,multi-search,String,1.2015378749999854
5000,Redis,Search,find all,String,0.14916537499993865
5000,MySQL,Search,single-search,String,37.524090208000075
5000,MySQL,Search,multi-search,String,62.22062895799991
5000,MySQL,Search,find all,String,0.0007128330000796268
5000,Mongo,Search,single-search,Int,59.157711083000095
5000,Mongo,Search,multi-search,Int,0.0958456670000487
5000,Mongo,Search,find all,Int,3.999999989900971e-06
5000,Redis,Search,single-search,Int,0.41798179199986407
5000,Redis,Search,multi-search,Int,1.193579833000058
5000,Redis,Search,find all,Int,0.1483062089998839
5000,MySQL,Search,single-search,Int,0.0032118330000230344
